Isolate	Distance to 450	Distance to 449	Distance to 478	Distance to 458	Distance to 474	Distance to 453	Distance to 467	Distance to 468	Distance to 461	Distance to 452	Distance to 456	Distance to 462	Distance to 464	Distance to 476	Distance to 477	Distance to 470	Distance to 471	Distance to 454	Distance to 457	Distance to 460	Distance to 455	Distance to 466	Distance to 475	Distance to 451	Distance to 469	Distance to 472	Distance to 479	Distance to 465	Distance to 473	Distance to 459	Distance to 463
456	0.0000363517	0.0000295567	0.0000277778	0.0000106504	0.0000112963	0.0000101661	0.00000952034	0.00000758332	0.00000241963	0.00000500116	0	0.00000354897	0.00000338763	0.00000241963	0.00000209698	0.00000193566	0.00000177434	0.00000306495	0.00000258095	0.00000258095	0.00000806754	0.00000742192	0.00000580802	0.00000548527	0.00000500116	0.0000238975	0.0000237358	0.0000240591	0.000018726	0.0000188875	0.0000192107
462	0.0000350571	0.0000282629	0.0000264842	0.00000839037	0.0000116192	0.00000822895	0.00000629216	0.00000564664	0.00000403301	0.00000371032	0.00000354897	0	0.00000241963	0.00000241963	0.00000209698	0.00000193566	0.00000177434	0.00000177434	0.0000012904	0.0000012904	0.00000709912	0.00000613078	0.0000048398	0.00000580802	0.0000059694	0.0000255141	0.0000208266	0.0000221195	0.0000203418	0.0000172719	0.0000179181
464	0.0000348952	0.0000274544	0.0000263225	0.00000919748	0.00000919748	0.00000774472	0.00000645355	0.00000516253	0.00000354897	0.00000258095	0.00000338763	0.00000241963	0	0.0000012904	0.00000193566	0.00000177434	0.00000161302	0.00000161302	0.00000112909	0.00000112909	0.00000564664	0.00000500116	0.00000467844	0.00000564664	0.00000580802	0.0000240591	0.0000222811	0.0000226044	0.000019857	0.0000164642	0.0000177566
476	0.0000352189	0.0000274544	0.0000266459	0.00000952034	0.000010489	0.00000806754	0.00000742192	0.00000548527	0.00000387166	0.00000290362	0.00000241963	0.00000241963	0.0000012904	0	9.67785e-7	8.06482e-7	6.45181e-7	0.00000193566	0.00000145171	0.00000112909	0.00000693772	0.0000053239	0.00000467844	0.00000564664	0.00000580802	0.0000243825	0.0000226044	0.0000229276	0.0000201802	0.0000167873	0.0000180797
477	0.0000348952	0.0000281012	0.0000263225	0.00000919748	0.0000111348	0.00000871321	0.00000806754	0.00000613078	0.00000354897	0.00000354897	0.00000209698	0.00000209698	0.00000193566	9.67785e-7	0	4.83882e-7	3.22585e-7	0.00000161302	0.00000112909	0.00000112909	0.00000661494	0.0000059694	0.00000435572	0.0000053239	0.00000548527	0.0000250291	0.0000222811	0.0000226044	0.000019857	0.0000174335	0.0000177566
470	0.0000347334	0.0000279395	0.0000261608	0.00000903605	0.0000106504	0.00000822895	0.00000790613	0.0000059694	0.00000306495	0.00000338763	0.00000193566	0.00000193566	0.00000177434	8.06482e-7	4.83882e-7	0	1.61292e-7	0.00000145171	9.67785e-7	9.67785e-7	0.00000645355	0.00000580802	0.00000419437	0.00000516253	0.0000053239	0.0000245441	0.0000221195	0.0000224428	0.0000193723	0.0000169488	0.000017595
471	0.0000345716	0.0000277778	0.0000259991	0.00000887463	0.0000108119	0.00000839037	0.00000774472	0.00000580802	0.00000322629	0.00000322629	0.00000177434	0.00000177434	0.00000161302	6.45181e-7	3.22585e-7	1.61292e-7	0	0.0000012904	8.06482e-7	8.06482e-7	0.00000629216	0.00000564664	0.00000403301	0.00000500116	0.00000516253	0.0000247058	0.0000219579	0.0000222811	0.0000195339	0.0000171104	0.0000174335
454	0.0000345716	0.0000281012	0.0000259991	0.00000790613	0.0000108119	0.00000774472	0.00000774472	0.00000580802	0.00000322629	0.00000322629	0.00000306495	0.00000177434	0.00000161302	0.00000193566	0.00000161302	0.00000145171	0.0000012904	0	8.06482e-7	0.00000112909	0.00000629216	0.00000564664	0.00000435572	0.0000053239	0.00000548527	0.0000247058	0.0000209882	0.0000216346	0.0000195339	0.0000171104	0.0000174335
457	0.0000337626	0.0000272927	0.0000251908	0.00000806754	0.0000103275	0.00000758332	0.00000726051	0.00000500116	0.00000274229	0.00000241963	0.00000258095	0.0000012904	0.00000112909	0.00000145171	0.00000112909	9.67785e-7	8.06482e-7	8.06482e-7	0	3.22585e-7	0.00000580802	0.0000048398	0.00000387166	0.0000048398	0.00000500116	0.0000242208	0.000021473	0.000021473	0.0000190491	0.0000166257	0.0000166257
460	0.0000340862	0.0000269693	0.0000255141	0.00000839037	0.0000103275	0.00000758332	0.00000693772	0.00000500116	0.00000306495	0.00000241963	0.00000258095	0.0000012904	0.00000112909	0.00000112909	0.00000112909	9.67785e-7	8.06482e-7	0.00000112909	3.22585e-7	0	0.00000613078	0.0000048398	0.00000387166	0.0000048398	0.00000500116	0.0000242208	0.0000217963	0.0000217963	0.0000193723	0.0000166257	0.0000169488
455	0.0000347334	0.0000282629	0.0000261608	0.0000138799	0.00000645355	0.0000117806	0.000010489	0.0000108119	0.00000822895	0.00000822895	0.00000806754	0.00000709912	0.00000564664	0.00000693772	0.00000661494	0.00000645355	0.00000629216	0.00000629216	0.00000580802	0.00000613078	0	0.00000387166	0.00000258095	0.00000354897	0.00000371032	0.0000248674	0.0000221195	0.0000224428	0.0000196954	0.0000172719	0.000017595
466	0.0000337626	0.0000250291	0.0000251908	0.000012911	0.00000677633	0.0000101661	0.0000111348	0.00000887463	0.00000758332	0.00000564664	0.00000742192	0.00000613078	0.00000500116	0.0000053239	0.0000059694	0.00000580802	0.00000564664	0.00000564664	0.0000048398	0.0000048398	0.00000387166	0	0.00000193566	0.0000022583	0.00000306495	0.0000222811	0.000021473	0.000021473	0.0000190491	0.0000156566	0.0000166257
475	0.0000327919	0.0000259991	0.0000242208	0.0000119421	0.00000709912	0.0000114577	0.0000108119	0.00000887463	0.00000629216	0.00000629216	0.00000580802	0.0000048398	0.00000467844	0.00000467844	0.00000435572	0.00000419437	0.00000403301	0.00000435572	0.00000387166	0.00000387166	0.00000258095	0.00000193566	0	0.0000012904	0.00000145171	0.0000229276	0.0000201802	0.0000205034	0.0000177566	0.0000153335	0.0000156566
